Date,Timestamp,Open,High,Low,Close,Volume
20190408,15:00:00,1.33243,1.33267,1.33146,1.33163,9190.61001241207
20190408,16:00:00,1.33162,1.33195,1.33099,1.33107,5996.89001095295
20190408,17:00:00,1.33107,1.3314,1.33044,1.33087,5017.58000421524
20190408,18:00:00,1.33087,1.3316,1.33074,1.33104,7276.0399916172
20190408,19:00:00,1.33101,1.3315,1.33067,1.33067,4052.05000686646
20190408,20:00:00,1.33074,1.3315,1.33068,1.33124,1608.46999919415
20190408,21:00:00,1.33124,1.3315,1.33087,1.33108,1719.6399968341
20190408,22:00:00,1.33119,1.33138,1.33077,1.33127,1714.92000189424
20190408,23:00:00,1.33128,1.33141,1.33111,1.33137,1446.31999504566
20190409,00:00:00,1.33137,1.33148,1.33061,1.33147,3063.130022645
20190409,01:00:00,1.33147,1.33189,1.33087,1.3317,3341.22000896931
20190409,02:00:00,1.3317,1.33175,1.33119,1.3313,2245.34000790119
20190409,03:00:00,1.33131,1.33131,1.33074,1.33094,2461.83001244068
20190409,04:00:00,1.33094,1.33102,1.33065,1.33084,2104.63000619411
20190409,05:00:00,1.33082,1.33137,1.33072,1.33095,2546.05001103878
20190409,06:00:00,1.33094,1.33157,1.32931,1.33014,3586.4900213033
20190409,07:00:00,1.33013,1.33041,1.32931,1.33012,4291.10002160072
20190409,08:00:00,1.33012,1.33047,1.3296,1.32979,4519.1500095129
20190409,09:00:00,1.32979,1.33074,1.32977,1.33012,4944.43001031876
20190409,10:00:00,1.33012,1.33043,1.32976,1.32982,6315.32000088692
20190409,11:00:00,1.32983,1.33014,1.32846,1.32915,6595.13000702858
20190409,12:00:00,1.32915,1.32949,1.32837,1.32922,8581.21002304554
20190409,13:00:00,1.32922,1.33191,1.32891,1.33152,13690.7100387812
20190409,14:00:00,1.33151,1.33288,1.331,1.33173,12599.2200362682
20190409,15:00:00,1.33173,1.33257,1.3315,1.33209,9054.14000976086
20190409,16:00:00,1.33209,1.33229,1.33125,1.33217,4881.36999428272
20190409,17:00:00,1.33218,1.33282,1.33176,1.33229,4000.0799921751
20190409,18:00:00,1.33229,1.33271,1.33214,1.33221,4388.00999188423
20190409,19:00:00,1.33221,1.33282,1.3322,1.33238,3937.8499943018
20190409,20:00:00,1.33237,1.33312,1.3321,1.3328,1934.95999628305
20190409,21:00:00,1.33274,1.33318,1.33226,1.33279,5624.54998331517
20190409,22:00:00,1.33291,1.33318,1.33279,1.333,1231.01999891549
20190409,23:00:00,1.33299,1.33304,1.33285,1.33294,1102.47999823093
20190410,00:00:00,1.33294,1.33353,1.33284,1.33352,1868.57000434399
20190410,01:00:00,1.33352,1.33382,1.33303,1.33336,3856.56001019478
20190410,02:00:00,1.33336,1.33381,1.33332,1.33349,2870.66999554634
20190410,03:00:00,1.33348,1.33352,1.33288,1.33328,3181.36000931263
20190410,04:00:00,1.33329,1.33356,1.33286,1.33333,1970.25000274181
20190410,05:00:00,1.33332,1.33339,1.33286,1.33286,2011.27000331879
20190410,06:00:00,1.33287,1.33309,1.33211,1.3325,3202.47000420094
20190410,07:00:00,1.33252,1.33259,1.33205,1.33232,3645.01001417637
20190410,08:00:00,1.33231,1.33285,1.33206,1.33274,4511.78000879288
20190410,09:00:00,1.33273,1.33279,1.33197,1.33197,3114.50001072884
20190410,10:00:00,1.33197,1.33289,1.33194,1.33267,3728.57001030445
20190410,11:00:00,1.33266,1.33268,1.33183,1.33259,4191.32001185417
20190410,12:00:00,1.33257,1.33515,1.33209,1.33514,10939.2700412273
20190410,13:00:00,1.33513,1.33596,1.33388,1.33413,12613.7700228691
20190410,14:00:00,1.33414,1.33469,1.33283,1.33318,10975.1500176191
20190410,15:00:00,1.33319,1.33336,1.33183,1.33222,8646.62000155449
20190410,16:00:00,1.33222,1.33267,1.33104,1.33113,6579.16001069546
20190410,17:00:00,1.33113,1.3315,1.33057,1.33149,6399.73999798298
20190410,18:00:00,1.33146,1.33234,1.33091,1.33228,9663.98996806145
20190410,19:00:00,1.33227,1.33271,1.33145,1.33208,5982.30999851227
20190410,20:00:00,1.33208,1.33273,1.33148,1.33167,2984.23999083042
20190410,21:00:00,1.33166,1.33217,1.33104,1.33201,2101.37001106143
20190410,22:00:00,1.33205,1.33209,1.33168,1.33178,840.839993961155
20190410,23:00:00,1.33178,1.33186,1.33159,1.33186,1254.44999706745
20190411,00:00:00,1.33186,1.33314,1.33164,1.33308,2842.37999856472
20190411,01:00:00,1.33307,1.33401,1.33292,1.33393,2589.38000416756
20190411,02:00:00,1.33393,1.33444,1.33393,1.33416,2596.29000198841
20190411,03:00:00,1.33416,1.3346,1.33413,1.33414,1590.63000357151
20190411,04:00:00,1.33415,1.33425,1.33388,1.33407,1702.76000225544
20190411,05:00:00,1.33406,1.33424,1.33365,1.33393,1765.39000678062
20190411,06:00:00,1.33392,1.33458,1.33383,1.33432,4116.76000332832
20190411,07:00:00,1.33432,1.33561,1.33388,1.33539,5602.36000800133
20190411,08:00:00,1.33538,1.33569,1.33469,1.33486,4757.4899969101
